DateTime,TemperatureC,FocuserSteps
2026-08-17 00:53:59,31.33,24935
2026-08-17 01:03:35,31.13,24893
2026-08-17 03:41:24,29.34,24923
2026-08-17 04:13:34,28.58,24952
2026-08-17 04:21:00,28.45,24947
2026-08-17 23:04:23,32.7,24896
2026-08-18 00:21:12,31.77,24866
2026-08-18 01:47:58,30.32,24998
2026-08-18 23:06:34,33.43,24774
2026-08-19 00:22:48,28.84,24975
2026-08-19 00:37:43,28.3,24965
2026-08-19 01:00:06,28.17,24977
2026-08-19 04:58:35,24.52,25103
2026-08-22 00:06:29,27.94,24941
2026-08-22 00:16:48,27.65,24995
2026-08-22 01:05:09,26.47,25017
2026-08-22 01:48:23,25.88,25098
2026-08-22 02:00:59,25.32,25140
2026-08-22 03:11:05,23.86,25212
2026-08-22 03:20:27,24.82,25111
2026-08-22 04:12:26,23.69,25204
2026-08-22 22:57:04,29.25,24964
2026-08-23 00:04:07,25.15,25018
2026-08-23 23:53:32,24.96,25041
2026-08-28 00:54:39,18.52,25268
2026-08-28 01:08:00,18.27,25261
2026-08-28 02:40:16,17.24,25287
2026-08-28 03:15:52,12.55,25548
2026-08-28 03:42:41,16.14,25317
2026-08-28 04:31:30,11.4,25574
2026-08-28 23:40:45,20.37,25202
2026-08-29 00:20:36,21.76,25103
